ip,requests_per_minute,session_duration,unique_pages,avg_click_interval,is_headless,user_agent_length,visit_count,label
104.210.140.139,0.0007,165617.0,1,165617.0,1,179,2,1
104.210.140.137,0.0007,165617.0,1,165617.0,1,179,2,1
207.46.13.155,0.0001,1722600.0,2,1722600.0,1,144,2,1
57.155.170.192,32.5714,70.0,27,1.8919,0,116,38,0
193.254.28.196,60.0,0.0,1,0.0,0,113,1,0
104.210.140.133,0.0007,164969.0,1,164969.0,1,179,2,1
104.210.140.140,60.0,0.0,1,0.0,1,179,1,1
207.46.13.156,60.0,0.0,1,0.0,1,144,1,1
65.55.210.81,60.0,0.0,1,0.0,1,140,1,1
199.30.24.2,60.0,0.0,1,0.0,1,140,1,1
40.77.178.39,60.0,0.0,1,0.0,1,140,1,1
14.244.51.34,47.7778,54.0,30,1.2857,0,111,43,0
154.20.179.229,0.0106,11304.0,1,11304.0,0,72,2,0
104.210.140.134,0.0006,326890.0,1,163445.0,1,179,3,1
8.213.197.208,60.0,0.0,1,0.0,0,18,1,0
52.167.144.56,60.0,0.0,1,0.0,1,144,1,1
40.77.167.126,4.0,30.0,2,30.0,1,144,2,1
52.167.144.204,120.0,0.0,2,0.0,1,273,2,1
47.116.4.153,60.0,0.0,1,0.0,0,115,1,0
47.103.117.168,9.2308,13.0,2,13.0,0,115,2,0
47.116.39.157,60.0,0.0,1,0.0,0,115,1,0
47.116.7.23,60.0,0.0,1,0.0,0,115,1,0
47.100.218.89,60.0,0.0,1,0.0,0,115,1,0
47.116.6.204,120.0,0.0,2,0.0,0,115,2,0
47.116.67.169,120.0,0.0,2,0.0,0,115,2,0
101.133.151.108,60.0,0.0,1,0.0,0,115,1,0
101.133.154.152,18.0,10.0,3,5.0,0,115,3,0
47.116.2.105,60.0,0.0,1,0.0,0,115,1,0
101.133.224.57,60.0,0.0,1,0.0,0,115,1,0
47.116.76.107,60.0,0.0,1,0.0,0,115,1,0
47.116.71.167,60.0,0.0,1,0.0,0,115,1,0
101.133.238.180,60.0,0.0,1,0.0,0,115,1,0
47.116.11.43,60.0,0.0,1,0.0,0,115,1,0
101.133.157.199,120.0,0.0,2,0.0,0,115,2,0
47.116.13.55,180.0,1.0,3,0.5,0,115,3,0
101.133.234.39,60.0,0.0,1,0.0,0,115,1,0
101.133.151.68,60.0,0.0,1,0.0,0,115,1,0
104.210.140.128,0.0008,158542.0,1,158542.0,1,179,2,1
104.210.140.129,0.0015,79831.0,1,79831.0,1,179,2,1
157.55.39.53,60.0,0.0,1,0.0,1,144,1,1
40.77.167.108,0.0006,193160.0,1,193160.0,1,144,2,1
40.77.167.51,0.0036,100505.0,5,20101.0,1,144,6,1
52.167.144.193,0.0014,171540.0,4,57180.0,1,273,4,1
40.77.167.3,120.0,0.0,2,0.0,1,273,2,1
104.210.140.136,60.0,0.0,1,0.0,1,179,1,1
221.239.90.67,60.0,0.0,1,0.0,0,176,1,0
52.167.144.179,0.0002,736301.0,2,736301.0,1,144,2,1
109.166.52.104,270.0,2.0,8,0.25,0,111,9,0
157.55.39.59,60.0,0.0,1,0.0,1,144,1,1
52.167.144.147,60.0,0.0,1,0.0,1,273,1,1
157.55.39.9,40.0,3.0,2,3.0,1,273,2,1
104.210.140.132,60.0,0.0,1,0.0,1,179,1,1
52.167.144.167,60.0,0.0,1,0.0,1,144,1,1
40.77.167.17,8.5714,14.0,2,14.0,1,144,2,1
40.77.167.1,120.0,0.0,2,0.0,1,273,2,1
40.77.167.155,60.0,0.0,1,0.0,1,144,1,1
40.77.167.230,60.0,0.0,1,0.0,1,144,1,1
52.167.144.59,0.0004,673080.0,1,168270.0,1,144,5,1
40.77.167.131,0.0294,10210.0,5,2552.5,1,144,5,1
40.77.167.156,60.0,0.0,1,0.0,1,273,1,1
52.167.144.233,60.0,0.0,1,0.0,1,273,1,1
40.77.179.60,60.0,0.0,1,0.0,1,140,1,1
40.77.179.153,60.0,0.0,1,0.0,1,140,1,1
40.77.179.44,60.0,0.0,1,0.0,1,140,1,1
52.167.144.201,60.0,0.0,1,0.0,1,144,1,1
40.77.167.235,60.0,0.0,1,0.0,1,144,1,1
66.207.180.136,180.0,3.0,8,0.375,0,111,9,0
40.77.167.26,120.0,0.0,2,0.0,1,273,2,1
207.46.13.150,60.0,0.0,1,0.0,1,273,1,1
157.55.39.194,60.0,0.0,1,0.0,1,144,1,1
40.77.167.37,60.0,0.0,1,0.0,1,144,1,1
157.55.39.195,4.0,30.0,2,30.0,1,144,2,1
65.55.210.209,120.0,0.0,2,0.0,1,140,2,1
40.77.167.241,60.0,0.0,1,0.0,1,144,1,1
40.77.167.63,60.0,0.0,1,0.0,1,144,1,1
52.167.144.160,6.3158,19.0,2,19.0,1,144,2,1
40.77.167.30,120.0,0.0,2,0.0,1,273,2,1
62.204.38.81,60.0,0.0,1,0.0,0,125,1,0
40.77.167.53,60.0,0.0,1,0.0,1,144,1,1
212.116.226.23,60.0,0.0,1,0.0,0,125,1,0
62.216.64.41,270.0,2.0,8,0.25,0,111,9,0
40.77.177.181,120.0,1.0,2,1.0,1,140,2,1
113.23.102.20,39.375,32.0,21,1.6,0,111,21,0
40.77.167.75,60.0,0.0,1,0.0,1,144,1,1
52.167.144.161,60.0,0.0,1,0.0,1,144,1,1
40.77.167.2,60.0,0.0,1,0.0,1,144,1,1
