requests_per_minute,session_duration,unique_pages,avg_click_interval,is_headless,user_agent_length,visit_count,label
123.1732,17.05,4,0.5014,1,35,35,1
4.6092,377.51,29,13.4824,0,151,29,0
5.6466,42.5,4,14.1678,1,78,4,1
8.2476,36.37,5,9.0936,1,85,5,1
146.5861,34.38,2,0.4142,1,35,84,1
8.8737,128.47,10,7.1372,0,128,19,0
1.4115,340.07,5,48.582,0,135,8,0
2.0675,696.5,19,30.2825,0,113,24,0
2.8036,192.61,6,24.076,0,105,9,0
7.9956,180.1,24,7.8304,0,122,24,0
0.6124,587.83,3,117.5652,0,91,6,0
47.772,3.77,3,1.8839,0,76,3,1
2.1409,644.59,23,29.2998,0,117,23,0
4.3752,260.56,10,14.4754,0,139,19,0
6.3592,292.49,26,9.7497,0,133,31,0
3.781,380.86,24,16.5589,0,108,24,0
7.5881,23.72,3,11.8606,1,88,3,1
6.3077,190.24,10,10.0128,0,120,20,0
4.0821,470.35,22,15.1726,0,140,32,0
2.3993,775.22,23,25.8406,0,140,31,0
6.9651,189.52,22,9.0245,0,147,22,0
1.2366,873.35,13,51.3732,0,135,18,0
1.583,492.75,4,41.0626,0,120,13,0
1.3143,639.14,7,49.1645,0,130,14,0
134.182,4.02,7,0.503,0,95,9,1
0.644,652.19,4,108.6975,0,130,7,0
2.8904,539.71,22,21.5885,0,146,26,0
2.3969,600.78,23,26.1207,0,115,24,0
108.669,42.51,2,0.5594,1,42,77,1
12.0658,24.86,5,6.2159,1,85,5,1
56.4016,24.47,3,1.1122,1,15,23,1
9.4579,222.04,33,6.5305,0,104,35,0
104.5358,8.61,8,0.615,1,24,15,1
1.0567,283.91,4,70.9768,0,145,5,0
0.7453,563.54,7,93.9233,0,158,7,0
2.5277,830.8,33,24.4353,0,104,35,0
0.7506,559.57,1,93.2611,0,156,7,0
101.1726,4.74,6,0.6778,0,76,8,1
0.4318,833.73,1,166.7464,0,110,6,0
2.2233,161.92,3,32.3844,0,127,6,0
204.8136,19.04,4,0.2975,1,35,65,1
125.9775,28.58,3,0.4843,1,55,60,1
89.7314,50.82,1,0.6776,1,35,76,1
1.3711,787.71,10,46.336,0,144,18,0
132.4284,3.62,8,0.5178,0,76,8,1
2.0851,719.39,20,29.9747,0,134,25,0
1.5873,755.98,19,39.7884,0,152,20,0
1.1959,702.39,4,54.03,0,112,14,0
4.1114,466.99,23,15.0642,0,134,32,0
2.5804,604.56,23,24.1823,0,105,26,0
9.8328,152.55,17,6.3563,0,143,25,0
2.8128,426.62,11,22.4535,0,101,20,0
2.4648,462.51,15,25.6948,0,139,19,0
1.8923,539.02,13,33.6887,0,114,17,0
1.9093,722.77,17,32.853,0,139,23,0
53.0534,4.52,4,1.5079,0,72,4,1
5.6057,42.81,4,14.2711,1,75,4,1
3.0054,499.1,24,20.7959,0,122,25,0
1.0668,56.25,1,0,1,82,1,1
2.617,756.6,27,23.6436,0,149,33,0
297.216,1.82,9,0.2271,0,76,9,1
200.1995,6.29,2,0.3147,1,25,21,1
2.4742,436.5,9,25.6767,0,122,18,0
1.7739,304.42,7,38.0526,0,109,9,0
1.3021,322.57,3,53.7611,0,121,7,0
173.2217,3.12,7,0.3897,0,76,9,1
12.245,29.4,6,5.8799,1,95,6,1
1.1599,569.03,6,56.903,0,153,11,0
4.7383,101.3,8,14.4717,0,109,8,0
0.8074,594.47,5,84.924,0,117,8,0
104.2463,13.24,7,0.6017,1,28,23,1
4.2718,323.05,14,14.6841,0,136,23,0
0.9062,595.9,3,74.4871,0,141,9,0
5.3599,313.44,28,11.6089,0,118,28,0
3.6333,214.68,3,17.8902,0,151,13,0
347.7381,0.86,4,0.2157,0,88,5,1
615.8885,0.88,7,0.1096,0,105,9,1
6.949,94.98,1,9.4978,0,120,11,0
16.411,106.03,20,3.7867,0,115,29,0
14.2528,79.98,17,4.4436,0,117,19,0
3.2831,365.51,20,19.2373,0,136,20,0
5.4015,22.22,2,22.2162,1,93,2,1
1.9531,337.93,7,33.7926,0,115,11,0
0.5918,709.67,6,118.2788,0,130,7,0
2.5207,618.88,24,24.7552,0,117,26,0
0.5646,637.58,3,127.5155,0,135,6,0
0.6112,687.2,5,114.5325,0,123,7,0
605.1579,0.89,6,0.1115,0,105,9,1
101.8151,3.54,3,0.7072,0,76,6,1
25.4565,37.71,12,2.5141,0,114,16,0
9.244,207.7,32,6.7001,0,119,32,0
2.5706,536.83,20,24.4014,0,99,23,0
1.5344,664.75,15,41.547,0,140,17,0
531.3695,1.13,6,0.1255,0,92,10,1
50.6041,33.2,25,1.2296,0,160,28,0
133.2208,1.35,3,0.6756,0,85,3,1
2.9057,722.72,26,21.2565,0,116,35,0
31.2212,55.73,3,1.9904,1,60,29,1
4.4448,161.99,8,14.726,0,151,12,0
3.4626,17.33,1,0,1,90,1,1
7.1034,270.29,29,8.7192,0,124,32,0
121.6119,8.39,8,0.5242,1,18,17,1
1.6362,660.07,11,38.8278,0,123,18,0
3.4708,242.02,14,18.6171,0,107,14,0
101.1684,40.33,5,0.6019,1,60,68,1
1.387,821.91,12,45.6617,0,120,19,0
2.0053,658.26,13,31.3457,0,124,22,0
3.8558,248.98,9,16.5986,0,120,16,0
2.0344,560.36,11,31.131,0,129,19,0
227.9967,1.84,5,0.307,0,80,7,1
7.0772,271.29,30,8.7514,0,113,32,0
39.0488,4.61,3,2.3048,0,72,3,1
74.8041,52.14,5,0.8146,1,52,65,1
6.0271,109.51,7,10.9506,0,115,11,0
1.3942,215.18,3,53.7958,0,155,5,0
0.6724,803.06,2,100.3828,0,154,9,0
2.9681,202.15,5,22.4614,0,146,10,0
3.7621,382.76,24,16.6418,0,140,24,0
2.4003,874.89,25,25.7319,0,152,35,0
1.4707,530.37,12,44.1975,0,118,13,0
42.1673,54.07,3,1.4614,1,48,38,1
3.058,156.97,5,22.4239,0,130,8,0
4.2395,212.29,14,15.1636,0,100,15,0
152.1204,9.86,6,0.4109,1,25,25,1
2.6957,467.42,17,23.3708,0,91,21,0
146.0535,1.23,3,0.6162,0,85,3,1
5.5561,43.2,4,14.3986,1,78,4,1
7.76,61.86,1,8.8365,0,134,8,0
1.7611,681.39,19,35.8624,0,105,20,0
7.9533,248.95,31,7.7798,0,123,33,0
81.8364,17.6,6,0.765,1,30,24,1
1.9713,730.48,21,31.7602,0,131,24,0
3.497,17.16,1,0,1,75,1,1
1.0525,342.05,4,68.4107,0,102,6,0
15.2387,114.18,23,4.078,0,117,29,0
19.2669,24.91,3,3.559,1,18,8,1
126.7508,40.71,3,0.4789,1,58,86,1
17.7928,13.49,4,4.4962,1,88,4,1
1.4803,689.05,9,43.0655,0,124,17,0
1.0255,760.58,13,63.3816,0,154,13,0
2.2429,53.5,2,53.5028,1,95,2,1
11.8517,111.38,16,5.3037,0,125,22,0
8.214,36.52,5,9.1308,1,90,5,1
2.5857,556.9,16,24.2131,0,99,24,0
289.5568,19.48,1,0.2094,1,42,94,1
7.842,198.93,26,7.9572,0,109,26,0
5.0224,35.84,3,17.9198,1,78,3,1
2.869,167.31,3,23.9008,0,114,8,0
1.9982,840.75,27,31.1387,0,99,28,0
1.7987,333.57,9,37.0636,0,139,10,0
14.953,132.41,24,4.138,0,125,33,0
3.9315,457.85,21,15.7878,0,125,30,0
5.7734,332.56,24,10.7277,0,96,32,0
4.1441,275.09,10,15.2828,0,118,19,0
66.8647,2.69,3,1.346,0,98,3,1
25.3316,7.11,3,3.5529,1,86,3,1
206.1542,2.33,7,0.3326,0,85,8,1
2.6322,319.13,7,24.5484,0,91,14,0
1.108,866.41,7,57.7604,0,108,16,0
61.1234,9.82,5,1.0907,1,30,10,1
3.112,404.89,14,20.2445,0,140,21,0
8.0596,201.0,17,7.7308,0,134,27,0
138.6666,3.46,3,0.4945,0,98,8,1
2.0919,717.06,17,29.8777,0,91,25,0
0.8113,739.57,3,82.1745,0,112,10,0
1.9148,313.34,9,34.8159,0,121,10,0
3.3569,339.6,18,18.8665,0,102,19,0
0.6689,807.35,3,100.9184,0,98,9,0
5.5655,301.86,27,11.1799,0,123,28,0
5.1136,293.33,17,12.2223,0,151,25,0
8.2051,36.56,5,9.1407,1,88,5,1
201.8444,6.54,8,0.3114,1,25,22,1
1.4072,383.75,5,47.9688,0,119,9,0
2.2297,26.91,1,0,1,86,1,1
192.0815,2.5,5,0.357,0,76,8,1
3.9703,332.47,19,15.8318,0,149,22,0
44.4077,18.92,7,1.455,1,30,14,1
13.3972,26.87,4,5.3743,1,18,6,1
64.4697,21.41,3,0.973,1,22,23,1
1.3444,490.94,4,49.0939,0,105,11,0
7.4053,48.61,6,9.7227,1,90,6,1
32.3479,53.79,28,1.9211,0,104,29,0
3.1118,617.01,24,19.9034,0,120,32,0
2.3679,658.82,19,26.3527,0,135,26,0
156.5484,24.15,3,0.3894,1,55,63,1
245.2034,19.33,5,0.2478,1,52,79,1
6.4879,157.22,12,9.826,0,155,17,0
4.1444,492.23,29,14.9159,0,107,34,0
0.9719,864.3,6,66.4846,0,117,14,0
3.7203,112.89,1,18.8155,0,135,7,0
95.3022,58.55,3,0.6364,1,45,93,1
1.788,704.71,16,35.2356,0,111,21,0
1.2195,541.21,4,54.1215,0,117,11,0
180.4005,1.66,3,0.4157,0,76,5,1
1.1581,569.89,8,56.9889,0,135,11,0
1.6424,694.12,18,38.562,0,117,19,0
79.9554,4.5,6,0.9005,0,76,6,1
5.9988,220.05,22,10.4784,0,144,22,0
3.1453,19.08,1,0,1,82,1,1
1.1541,779.85,14,55.7035,0,108,15,0
2.3953,876.72,26,25.7858,0,130,35,0
15.76,76.14,13,4.0075,0,131,20,0
3.8136,251.73,7,16.7819,0,135,16,0
